month,project_id,service,sku,gross_cost,credits,net_cost
2026-04,katalyststreet-public,Google Service Control,Operations,0.0,0.0,0.0
2026-04,katalyststreet-public,Cloud Run,Cloud Run GOOGLE-API Data Transfer Out,0.0,0.0,0.0
2026-04,katalyststreet-public,PMOMax,PMO-Max Pricing By Tokens Tokens Usage,0.0,-0.0,0.0
2026-04,katalyststreet-public,Cloud Run,"Cloud Run Network Internet Data Transfer Out Intercontinental (Excl Oceania, Africa and China)",0.0,0.0,0.0
2026-04,katalyststreet-public,Cloud Build,Cloud Build: Network Data Transfer Out Internet Premium within North America,0.0,0.0,0.0
2026-04,pid-architect-ehlu1,Cloud Storage,Regional Standard Class B Operations,0.0,0.0,0.0
2026-04,optimax-build1,Cloud Run,Requests,0.0,0.0,0.0
2026-04,optimax-build1,Secret Manager,Secret version replica storage,0.03,-0.03,0.0
2026-04,katalyststreet-finops,Cloud Logging,Log Storage cost,0.0,0.0,0.0
2026-04,deltamax-464321,Cloud Logging,Log Storage cost,0.0,0.0,0.0
2026-04,katalyststreet-public,Cloud Run,Services CPU (Request-based billing),0.01,-0.01,0.0
2026-04,deltamax-v1,Cloud Logging,Log Storage cost,0.0,0.0,0.0
2026-04,ontomax,Cloud Logging,Log Storage cost,0.0,0.0,0.0
2026-04,katalyststreet-public,Cloud Run,Cloud Run Network Internet Data Transfer Out North America to North America,0.0,0.0,0.0
2026-04,katalyststreet-public,Cloud Build,Build time e2-standard-2,0.0,0.0,0.0
2026-04,katalyststreet-public,Cloud Build,E2 cpu utilization per minute in the global region (Default Pool),0.24,-0.24,0.0
2026-04,katalyststreet-public,Artifact Registry,Artifact Registry Network Internet Egress North America to North America,0.22,-0.22,0.0
2026-04,pid-architect-ehlu1,Cloud Storage,Download Worldwide Destinations (excluding Asia & Australia),0.0,0.0,0.0
2026-04,pid-architect-ehlu1,Cloud Storage,Multi-Region Standard Class B Operations,0.0,0.0,0.0
2026-04,pid-architect-ehlu1,Cloud Storage,Regional Standard Class A Operations,0.0,0.0,0.0
2026-05,optimax-build1,Cloud Run,Services CPU (Request-based billing),17.51,-17.14,0.37
2026-05,katalyststreet-public,Kubernetes Engine,Autopilot Pod mCPU Requests (us-central1),5.32,-5.16,0.16
2026-05,optimax-build1,Cloud Run,Services Min Instance CPU (Request-based billing),1.22,-1.2,0.03
2026-05,optimax-build1,Security Command Center,Organization Level Security Command Center Premium for Cloud Run - CPU Time,0.99,-0.96,0.03
2026-05,katalyststreet-public,Kubernetes Engine,Autopilot Pod Memory Requests (us-central1),0.8,-0.78,0.02
2026-05,katalyststreet-public,Security Command Center,Organization Level Security Command Center Premium for Kubernetes Pod - CPU Request,0.59,-0.57,0.02
2026-05,katalyststreet-public,Artifact Registry,Artifact Registry Network Inter Region Egress North America to North America,0.29,-0.28,0.01
2026-05,katalyststreet-public,Kubernetes Engine,Autopilot Kubernetes Clusters,13.3,-13.29,0.01
2026-05,optimax-build1,Cloud Run,Services Memory (Request-based billing),0.91,-0.9,0.01
2026-05,optimax-build1,Cloud Run,Services Min Instance Memory (Request-based billing),0.61,-0.61,0.01
2026-05,katalyststreet-public,Artifact Registry,Artifact Registry Storage,0.5,-0.48,0.01
2026-05,katalyststreet-public,Kubernetes Engine,Zonal Kubernetes Clusters,9.09,-9.08,0.01
2026-05,deltamax-v1,Secret Manager,Secret version replica storage,0.0,-0.0,0.0
2026-05,katalyststreet-public,Artifact Registry,Artifact Registry GOOGLE-API Egress,0.0,0.0,0.0
2026-05,katalyststreet-public,Kubernetes Engine,Autopilot SSD Pod Ephemeral Storage Requests (us-central1),0.11,-0.11,0.0
2026-05,katalyststreet-public,Cloud Run,Cloud Run Network Internet Data Transfer Out North America to North America,0.0,0.0,0.0
2026-05,katalyststreet-public,Cloud Logging,Log Storage cost,0.0,0.0,0.0
2026-05,katalyststreet-public,Cloud Run,Services CPU (Request-based billing),0.0,0.0,0.0
