NAMESPACE        NAME                             TYPE     CREATED
default          pmomax-license-998217            Opaque   2026-04-22T20:24:48Z
gke-gmp-system   alertmanager                     Opaque   2026-03-03T21:57:18Z
gke-gmp-system   collection                       Opaque   2026-03-03T21:56:57Z
gke-gmp-system   rules                            Opaque   2026-03-03T21:57:19Z
gke-gmp-system   webhook-tls                      Opaque   2026-03-03T21:54:44Z
kube-system      container-watcher-token          Opaque   2026-03-18T21:12:33Z
pmomax           pmo-architect-reporting-secret   Opaque   2026-03-27T19:29:03Z
pmomax           pmomax-license-998217            Opaque   2026-04-22T20:27:54Z
