NAMESPACE            LAST SEEN   TYPE      REASON                           OBJECT                                                                                   MESSAGE
kube-system          34m         Normal    ScaleDown                        pod/gke-metadata-server-dqjz6                                                            deleting pod for node scale down
gke-gmp-system       34m         Normal    ScaleDown                        pod/collector-v6nkr                                                                      deleting pod for node scale down
kube-system          34m         Normal    SuccessfulCreate                 replicaset/konnectivity-agent-67c5d59449                                                 Created pod: konnectivity-agent-67c5d59449-2rx95
kube-system          34m         Normal    Killing                          pod/konnectivity-agent-67c5d59449-5nfnl                                                  Stopping container konnectivity-agent-metrics-collector
kube-system          34m         Normal    Killing                          pod/konnectivity-agent-67c5d59449-5nfnl                                                  Stopping container konnectivity-agent
kube-system          34m         Normal    ScaleDown                        pod/efficiency-daemon-xcf58                                                              deleting pod for node scale down
kube-system          34m         Normal    Killing                          pod/efficiency-daemon-xcf58                                                              Stopping container efficiency-daemon
kube-system          34m         Normal    ScaleDown                        pod/ip-masq-agent-lsgks                                                                  deleting pod for node scale down
kube-system          34m         Normal    ScaleDown                        pod/gke-metrics-agent-jxzjq                                                              deleting pod for node scale down
kube-system          34m         Normal    Killing                          pod/filestore-node-fcsj9                                                                 Stopping container csi-driver-registrar
kube-system          34m         Normal    Killing                          pod/filestore-node-fcsj9                                                                 Stopping container filestorecsi-metrics-collector
kube-system          34m         Normal    Killing                          pod/filestore-node-fcsj9                                                                 Stopping container gcp-filestore-driver
kube-system          34m         Normal    Killing                          pod/filestore-node-fcsj9                                                                 Stopping container nfs-services
kube-system          34m         Normal    ScaleDown                        pod/parallelstore-csi-node-jj6j8                                                         deleting pod for node scale down
kube-system          34m         Normal    ScaleDown                        pod/konnectivity-agent-67c5d59449-5nfnl                                                  deleting pod for node scale down
kube-system          34m         Normal    Killing                          pod/ip-masq-agent-lsgks                                                                  Stopping container ip-masq-agent
gke-gmp-system       34m         Normal    Killing                          pod/collector-v6nkr                                                                      Stopping container prometheus
gke-gmp-system       34m         Normal    Killing                          pod/collector-v6nkr                                                                      Stopping container config-reloader
kube-system          34m         Normal    ScaleDown                        pod/fluentbit-gke-big-2zmvl                                                              deleting pod for node scale down
kube-system          34m         Normal    Killing                          pod/fluentbit-gke-big-2zmvl                                                              Stopping container fluentbit
kube-system          34m         Normal    Killing                          pod/fluentbit-gke-big-2zmvl                                                              Stopping container fluentbit-metrics-collector
kube-system          34m         Normal    Killing                          pod/gcsfusecsi-node-77nq4                                                                Stopping container csi-driver-registrar
kube-system          34m         Normal    Killing                          pod/parallelstore-csi-node-jj6j8                                                         Stopping container parallelstore-csi-driver
kube-system          34m         Normal    Killing                          pod/gcsfusecsi-node-77nq4                                                                Stopping container gcsfusecsi-metrics-collector
kube-system          34m         Normal    Killing                          pod/gcsfusecsi-node-77nq4                                                                Stopping container gcs-fuse-csi-driver
kube-system          34m         Normal    ScaleDown                        pod/gcsfusecsi-node-77nq4                                                                deleting pod for node scale down
kube-system          34m         Normal    Killing                          pod/parallelstore-csi-node-jj6j8                                                         Stopping container csi-driver-registrar
kube-system          34m         Normal    Created                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Container created
kube-system          34m         Normal    Pulled                           pod/konnectivity-agent-67c5d59449-2rx95                                                  Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Started                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Container started
kube-system          34m         Normal    Started                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Container started
kube-system          34m         Warning   Unhealthy                        pod/gke-metadata-server-dqjz6                                                            Readiness probe failed: Get "http://127.0.0.1:989/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system          34m         Normal    Pulled                           pod/konnectivity-agent-67c5d59449-2rx95                                                  Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260121_2300_RC0@sha256:3cbd2b897c681db94832b4e03e58e4e2168666259507ff8fb8ae43a01a3b5f5d" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Created                          pod/konnectivity-agent-67c5d59449-2rx95                                                  Container created
