service_description = PMOMax,service_description,sku_id,sku_description,usage_start_time,usage_end_time,project_id,project_name,export_time,cost,currency,usage_amount,usage_unit,usage_amount_in_pricing_units,usage_pricing_unit,invoice_month
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 17:00:00.000000 UTC,2026-03-31 18:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:55:04.024971 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 17:00:00.000000 UTC,2026-03-31 18:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:55:04.024971 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 18:00:00.000000 UTC,2026-03-31 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:34:54.129421 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 18:00:00.000000 UTC,2026-03-31 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 18:00:00.000000 UTC,2026-03-31 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 18:00:00.000000 UTC,2026-03-31 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:34:54.129421 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 18:00:00.000000 UTC,2026-03-31 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,-0.000082,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 18:00:00.000000 UTC,2026-03-31 19:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 19:00:00.000000 UTC,2026-03-31 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 19:00:00.000000 UTC,2026-03-31 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:34:54.129421 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 19:00:00.000000 UTC,2026-03-31 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:34:54.129421 UTC,-0.000001,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 19:00:00.000000 UTC,2026-03-31 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,-0.000081,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 19:00:00.000000 UTC,2026-03-31 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 19:00:00.000000 UTC,2026-03-31 20:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,-0.000081,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
152E-C115-5142,Cloud Run,4856-B847-F1EB,Services CPU (Request-based billing),2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,0,USD,0,seconds,0,second,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 20:00:00.000000 UTC,2026-03-31 21:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 21:00:00.000000 UTC,2026-03-31 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,-0.000003,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 21:00:00.000000 UTC,2026-03-31 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:38:51.990489 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 21:00:00.000000 UTC,2026-03-31 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,-0.000081,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 21:00:00.000000 UTC,2026-03-31 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:38:51.990489 UTC,-0.00008,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 21:00:00.000000 UTC,2026-03-31 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:38:51.990489 UTC,-0.000081,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 21:00:00.000000 UTC,2026-03-31 22:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:38:51.990489 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 22:00:00.000000 UTC,2026-03-31 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 22:00:00.000000 UTC,2026-03-31 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 18:54:17.253189 UTC,-0.000082,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 22:00:00.000000 UTC,2026-03-31 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,-0.000079,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 22:00:00.000000 UTC,2026-03-31 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,-0.000081,USD,"-3,600",seconds,-0.001345895,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 22:00:00.000000 UTC,2026-03-31 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 22:00:00.000000 UTC,2026-03-31 23:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:57:43.665438 UTC,0,USD,0,seconds,0,month,202604
EE82-7A5E-871C,Secret Manager,7756-ADEF-84F4,Secret version replica storage,2026-03-31 23:00:00.000000 UTC,2026-04-01 00:00:00.000000 UTC,pid-architect-ehlu1,PID Architect,2026-04-03 20:56:20.283686 UTC,-0.000081,USD,"-3,600",seconds,-0.001345895,month,202604
